state,betweenness,pagerank
Missouri,0.2975331634750244,0.03054106819036807
Pennsylvania,0.2751343457498033,0.028312017812554817
Kentucky,0.21769586879013836,0.028050930155769333
New York,0.20960884353741496,0.027596153363686697
Tennessee,0.2000015681035218,0.033474122127888264
Ohio,0.16829100923187482,0.02145604553038398
Nebraska,0.12467412020785132,0.0233877594376378
West Virginia,0.10748149546588337,0.021958183510532133
Wyoming,0.0936169165955103,0.02414117354750634
Oklahoma,0.08686489404004921,0.023936441486190563
Virginia,0.08675114181823516,0.021988034139547988
Michigan,0.08625479129575232,0.020966634080205743
Colorado,0.08375101585589019,0.02730549596385818
Idaho,0.08081961101574825,0.02629040150406196
Minnesota,0.07578772651446188,0.02104205785136847
Arkansas,0.0698985113484966,0.02500944729236706
South Dakota,0.0664313209969306,0.024462514434713936
Massachusetts,0.058248299319727886,0.030359210889235485
Iowa,0.05309300743542989,0.023706148658623017
New Mexico,0.047848119399165494,0.020641018108678525
Arizona,0.04607959566265045,0.021309922252709383
Maryland,0.044793152111368015,0.01905860457886729
New Hampshire,0.0391156462585034,0.02147889394048731
Illinois,0.03850676678170579,0.02392611958322194
Vermont,0.03571428571428571,0.01904612863569538
Utah,0.03447033107366575,0.02446790997234434
Georgia,0.032907747958768364,0.024724489038823527
North Carolina,0.031088887020009462,0.019467626876662838
Montana,0.029395341958875436,0.017652948142539936
Kansas,0.022201493001152574,0.016369928249853644
Texas,0.020762302666594207,0.0176016780820551
Alabama,0.019993531600674453,0.019665417895852272
Connecticut,0.017857142857142856,0.018729699940128606
North Dakota,0.015520743453085739,0.013898916974677806
Mississippi,0.014129389129389125,0.018437388702586908
Nevada,0.007903222331691086,0.02218344223538547
Indiana,0.005851721030292458,0.017112616928940772
Oregon,0.0037408145076212296,0.019398250123129283
Louisiana,0.003189014460496737,0.014306623584652076
New Jersey,0.002976190476190476,0.016279746592094663
Wisconsin,0.002762568702694753,0.016994156158472586
Delaware,0.002552214414459312,0.015779612566787553
California,0.0021375007814320385,0.01462134998473898
Rhode Island,0.0,0.013574993686354429
Hawaii,0.0,0.003105590062111802
Maine,0.0,0.009192265216253192
Florida,0.0,0.011487616539888777
Alaska,0.0,0.003105590062111802
Washington,0.0,0.010952020883438203
South Carolina,0.0,0.011445594423955355
