node,stateQID,capital_final,population_final,area_final,categories_dbpedia
Alabama,Q173,Montgomery,5024279,135765.0,"1819 establishments in the United States, Alabama, Contiguous United States, Southern United States, States and territories established in 1819, States of the Confederate States of America, States of the Gulf Coast of the United States, States of the United States"
Alaska,Q797,Juneau,733391,1717856.0,"1959 establishments in the United States, Alaska, Arctic Ocean, Enclaves and exclaves, Exclaves in the United States, Former Russian colonies, Northern America, Russia–United States relations, States and territories established in 1959, States of the United States, States of the West Coast of the United States, Western United States"
Arizona,Q816,Phoenix,7151502,295234.0,"1912 establishments in the United States, Arizona, Contiguous United States, Former Spanish colonies, States and territories established in 1912, States of the United States, Western United States"
Arkansas,Q1612,Little Rock,3011524,137733.0,"1836 establishments in the United States, Arkansas, Contiguous United States, South Central United States, Southern United States, States and territories established in 1836, States of the Confederate States of America, States of the United States"
California,Q99,Sacramento,39538223,423970.0,"1850 establishments in California, 1850 establishments in the United States, California, Contiguous United States, Former Spanish colonies, States and territories established in 1850, States of the United States, States of the West Coast of the United States, Western United States"
Colorado,Q1261,Denver,5773714,269837.0,"1861 establishments in Colorado Territory, 1876 establishments in Colorado, Colorado, Contiguous United States, Former Spanish colonies, States and territories established in 1861, States and territories established in 1876, States of the United States, Western United States"
Connecticut,Q779,Hartford,3605944,14357.0,"1788 establishments in the United States, Connecticut, Contiguous United States, New England states, Northeastern United States, States and territories established in 1788, States of the East Coast of the United States, States of the United States"
Delaware,Q1393,Dover,989948,6452.0,"1787 establishments in Delaware, 1787 establishments in the United States, Contiguous United States, Delaware, Mid-Atlantic states, Northeastern United States, Southern United States, States and territories established in 1787, States of the East Coast of the United States, States of the United States"
Florida,Q812,Tallahassee,21538187,170304.0,"1845 establishments in the United States, Contiguous United States, Eastern United States, Florida, Former Spanish colonies, Peninsulas of Florida, Southeastern United States, Southern United States, States and territories established in 1845, States of the Confederate States of America, States of the East Coast of the United States, States of the Gulf Coast of the United States, States of the United States"
Georgia,Q1428,Atlanta,10711908,153909.0,
Hawaii,Q782,Honolulu,1455271,28311.0,"1959 establishments in the United States, Articles containing video clips, Hawaii, Islands of Oceania, States and territories established in 1959, States of the United States, Western United States"
Idaho,Q1221,Boise,1839106,216699.0,"1890 establishments in the United States, Contiguous United States, Idaho, States and territories established in 1890, States of the United States, Western United States"
Illinois,Q1204,Springfield,12812508,149998.0,"1818 establishments in the United States, Contiguous United States, Former French colonies, Illinois, Midwestern United States, States and territories established in 1818, States of the United States"
Indiana,Q1415,Indianapolis,6785528,94321.0,"1816 establishments in the United States, Articles containing video clips, Contiguous United States, Indiana, Midwestern United States, States and territories established in 1816, States of the United States"
Iowa,Q1546,Des Moines,3190369,145746.0,"1846 establishments in Iowa, Contiguous United States, Iowa, Midwestern United States, States and territories established in 1846, States of the United States"
Kansas,Q1558,Topeka,2937880,213100.0,"1861 establishments in the United States, Contiguous United States, Kansas, Midwestern United States, States and territories established in 1861, States of the United States"
Kentucky,Q1603,Frankfort,4505836,104659.0,"1792 establishments in the United States, Contiguous United States, Kentucky, Southern United States, States and territories established in 1792, States of the United States"
