state1,state2,jaccard
Connecticut,New Hampshire,0.6
Idaho,Wyoming,0.5384615384615384
Connecticut,Massachusetts,0.5
North Dakota,South Dakota,0.5
Massachusetts,New Hampshire,0.5
Maryland,Massachusetts,0.47058823529411764
Maryland,South Carolina,0.4444444444444444
Delaware,New Jersey,0.4444444444444444
New Hampshire,Vermont,0.4375
Florida,Texas,0.42857142857142855
South Carolina,Virginia,0.42105263157894735
Maine,New Hampshire,0.4117647058823529
Maryland,New Hampshire,0.3888888888888889
New Jersey,Pennsylvania,0.3888888888888889
Massachusetts,South Carolina,0.3888888888888889
Connecticut,Maryland,0.3888888888888889
Arizona,Nevada,0.375
Arizona,New Mexico,0.375
Nevada,Utah,0.375
Illinois,South Dakota,0.375
Nevada,New Mexico,0.375
Alabama,Mississippi,0.3684210526315789
Delaware,New Hampshire,0.3684210526315789
Alabama,Louisiana,0.3684210526315789
Maine,Vermont,0.35294117647058826
Connecticut,Vermont,0.35294117647058826
Arkansas,Oklahoma,0.35294117647058826
Delaware,Maryland,0.35
Maryland,Virginia,0.35
Delaware,Pennsylvania,0.35
North Carolina,Virginia,0.3333333333333333
Alabama,Tennessee,0.3333333333333333
Arizona,Colorado,0.3333333333333333
Missouri,Wisconsin,0.3333333333333333
Michigan,Ohio,0.3333333333333333
Maine,Massachusetts,0.3333333333333333
New Hampshire,New Jersey,0.3333333333333333
Connecticut,New Jersey,0.3333333333333333
Georgia,Washington,0.3333333333333333
Georgia,New York,0.3333333333333333
Connecticut,Maine,0.3333333333333333
Kansas,Wisconsin,0.3333333333333333
Louisiana,Mississippi,0.3333333333333333
Montana,Wyoming,0.3333333333333333
Montana,North Dakota,0.3333333333333333
New Hampshire,South Carolina,0.3157894736842105
Delaware,Vermont,0.3157894736842105
Connecticut,South Carolina,0.3157894736842105
Maryland,New Jersey,0.3157894736842105
Alabama,Texas,0.3157894736842105
Idaho,South Dakota,0.3125
Indiana,Wisconsin,0.3125
Iowa,Nebraska,0.3125
Utah,Wyoming,0.3125
Montana,South Dakota,0.3125
Kansas,Nebraska,0.3125
Delaware,Maine,0.3
Massachusetts,Virginia,0.3
Ohio,Virginia,0.3
Delaware,West Virginia,0.3
Connecticut,Delaware,0.3
North Carolina,Tennessee,0.3
Arkansas,Mississippi,0.3
Alabama,North Carolina,0.3
Louisiana,Tennessee,0.3
Arkansas,Kentucky,0.29411764705882354
Arizona,Utah,0.29411764705882354
Nebraska,South Dakota,0.29411764705882354
Arizona,Minnesota,0.29411764705882354
Nebraska,Oklahoma,0.29411764705882354
Illinois,Nebraska,0.29411764705882354
New Mexico,Utah,0.29411764705882354
Arkansas,Iowa,0.29411764705882354
Florida,North Carolina,0.2916666666666667
North Carolina,Texas,0.2857142857142857
Pennsylvania,Virginia,0.2857142857142857
Alaska,Hawaii,0.2857142857142857
Mississippi,Texas,0.2857142857142857
Louisiana,Texas,0.2857142857142857
New Jersey,Vermont,0.2777777777777778
Massachusetts,Vermont,0.2777777777777778
Illinois,Ohio,0.2777777777777778
Michigan,Minnesota,0.2777777777777778
Illinois,Michigan,0.2777777777777778
Mississippi,North Carolina,0.2727272727272727
Mississippi,Virginia,0.2727272727272727
Indiana,Maryland,0.2631578947368421
Colorado,Nevada,0.2631578947368421
California,Utah,0.2631578947368421
Colorado,Utah,0.2631578947368421
California,Nevada,0.2631578947368421
Arkansas,Tennessee,0.2631578947368421
Massachusetts,New Jersey,0.2631578947368421
Arizona,California,0.2631578947368421
Maine,New Jersey,0.2631578947368421
Alabama,Arkansas,0.2631578947368421
Kentucky,Mississippi,0.2631578947368421
Maryland,West Virginia,0.25
Missouri,North Dakota,0.25
Idaho,North Dakota,0.25
Idaho,Montana,0.25
Kansas,Missouri,0.25
Maine,Maryland,0.25
Alabama,South Carolina,0.25
Florida,South Carolina,0.25
Alabama,Maryland,0.25
Iowa,Kentucky,0.25
Iowa,Kansas,0.25
Kansas,North Dakota,0.25
South Carolina,Tennessee,0.25
North Dakota,Wisconsin,0.25
Florida,Virginia,0.24
Florida,Louisiana,0.24
Mississippi,Tennessee,0.23809523809523808
Arkansas,North Carolina,0.23809523809523808
California,Colorado,0.23809523809523808
Connecticut,Virginia,0.23809523809523808
Virginia,West Virginia,0.23809523809523808
New Jersey,Virginia,0.23809523809523808
Arkansas,Virginia,0.23809523809523808
Mississippi,Ohio,0.23809523809523808
Maryland,Pennsylvania,0.23809523809523808
Delaware,Massachusetts,0.23809523809523808
Alabama,Virginia,0.23809523809523808
New Hampshire,Virginia,0.23809523809523808
Tennessee,Virginia,0.23809523809523808
Arkansas,Louisiana,0.23809523809523808
California,Texas,0.23809523809523808
Missouri,South Dakota,0.23529411764705882
South Dakota,Wisconsin,0.23529411764705882
Nebraska,North Dakota,0.23529411764705882
Montana,Nevada,0.23529411764705882
Idaho,Utah,0.23529411764705882
Nevada,Wyoming,0.23529411764705882
Kentucky,Oklahoma,0.23529411764705882
Idaho,Oklahoma,0.23529411764705882
Idaho,Nebraska,0.23529411764705882
Nebraska,Wisconsin,0.23529411764705882
South Dakota,Wyoming,0.23529411764705882
Missouri,Nebraska,0.23529411764705882
Minnesota,Wisconsin,0.23529411764705882
Kansas,South Dakota,0.23529411764705882
Idaho,Illinois,0.23529411764705882
Montana,Oregon,0.23529411764705882
Montana,Utah,0.23529411764705882
Kansas,Oklahoma,0.23529411764705882
Kansas,Oregon,0.23529411764705882
Minnesota,Missouri,0.23529411764705882
Iowa,South Dakota,0.23529411764705882
Arizona,Wyoming,0.23529411764705882
Illinois,Iowa,0.23529411764705882
Indiana,Missouri,0.23529411764705882
Iowa,Utah,0.23529411764705882
Illinois,Missouri,0.23529411764705882
Illinois,Wisconsin,0.23529411764705882
Illinois,North Dakota,0.23529411764705882
Illinois,Kansas,0.23529411764705882
Iowa,Oklahoma,0.23529411764705882
North Dakota,Vermont,0.23529411764705882
Arizona,Montana,0.23529411764705882
Indiana,Kansas,0.23529411764705882
New York,Ohio,0.23076923076923078
Texas,Virginia,0.22727272727272727
Louisiana,South Carolina,0.22727272727272727
North Carolina,Pennsylvania,0.22727272727272727
Maryland,North Carolina,0.22727272727272727
North Carolina,South Carolina,0.22727272727272727
Delaware,South Carolina,0.22727272727272727
Mississippi,South Carolina,0.22727272727272727
Indiana,Nebraska,0.2222222222222222
Alabama,Wisconsin,0.2222222222222222
Kentucky,Tennessee,0.2222222222222222
Nebraska,Utah,0.2222222222222222
Indiana,Minnesota,0.2222222222222222
Minnesota,New Mexico,0.2222222222222222
Nevada,Oregon,0.2222222222222222
Minnesota,Nevada,0.2222222222222222
Iowa,Ohio,0.2222222222222222
Oregon,Utah,0.2222222222222222
Illinois,Oklahoma,0.2222222222222222
New Hampshire,North Dakota,0.2222222222222222
Oklahoma,South Dakota,0.2222222222222222
New Mexico,Oregon,0.2222222222222222
Missouri,Tennessee,0.2222222222222222
Alabama,Kentucky,0.2222222222222222
Oklahoma,Utah,0.2222222222222222
Louisiana,Virginia,0.21739130434782608
Louisiana,North Carolina,0.21739130434782608
Delaware,Virginia,0.21739130434782608
Michigan,New Mexico,0.21052631578947367
Colorado,Wyoming,0.21052631578947367
Michigan,Nevada,0.21052631578947367
Arizona,Michigan,0.21052631578947367
Arizona,Massachusetts,0.21052631578947367
Alabama,Indiana,0.21052631578947367
California,Wyoming,0.21052631578947367
Montana,Texas,0.21052631578947367
Arkansas,Nebraska,0.21052631578947367
Vermont,West Virginia,0.21052631578947367
Massachusetts,Minnesota,0.21052631578947367
California,Montana,0.21052631578947367
Colorado,Montana,0.21052631578947367
Michigan,South Dakota,0.21052631578947367
Arkansas,Utah,0.21052631578947367
Maryland,Wisconsin,0.21052631578947367
Ohio,South Dakota,0.21052631578947367
Indiana,Massachusetts,0.21052631578947367
Minnesota,Ohio,0.21052631578947367
Iowa,Pennsylvania,0.21052631578947367
Alabama,Florida,0.20833333333333334
Kentucky,North Carolina,0.2
Oregon,Texas,0.2
Colorado,Minnesota,0.2
Texas,Utah,0.2
Colorado,New Mexico,0.2
Iowa,Mississippi,0.2
Indiana,South Carolina,0.2
